Bill of Lading Number,Shipment Date,Matching Fields,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper SPCIQ ID,Shipper MI Key,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Incorporation Year,Shipper Trade Roles,Shipper SIC Codes,Shipper Stock Tickers,Shipper (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipper Ultimate Parent,Shipper Ultimate Parent Website,Shipper Ultimate Parent Headquarters Address,Shipper Ultimate Parent Profile,Shipper Ultimate Parent SPCIQ ID,Shipper Ultimate Parent MI Key,Shipper Ultimate Parent Stock Tickers,Carrier,Shipment Destination,Port of Lading,Port of Lading Region,Port of Lading Country,Port of Unlading,Port of Unlading Region,Port of Unlading Country,Place of Receipt,Vessel,Vessel Country,Vessel SCAC,Transport Flight Code,Is Containerized,Volume (TEU),Item Quantity,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Equipment Type,Equipment Dimensions,Industry - GICS,Industry - GICS Description,Container Number,HS Code,Goods Shipped,Container Quantities,Divided/LCL
LU1020237490,2023-06-14,,Not Specified,316 Cross Street,Ogden,Utah,84404,United States,"zz, 316 Cross St, Ogden, UT 84404, USA",,,,,,,,,,https://panjiva.com/Not-Specified/133001673,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,AMLU - Antillean Marine Shipping Corp,Dominican Republic,"Port Of Entry-Miami Seaport, Miami, Florida",Southeast Region,United States,"Haina, Dominican Republic",Caribbean,Dominican Republic,MIAMI,BABUN EXPRESS,Honduras,AMLU - Antillean Marine Shipping Corp,234S,,,1,23940.0,23.94,23.94,220000.0,,,20106010,Construction Machinery & Heavy Trucks,,8716.31,STC 9838 GAZALLE FORD2 PIECES PZASTOTAL 352133CEMENT TANK TRAILERS 2013 MARCA MODELO COLOR GREY GRIS2023 MARCA MODELO COLOR GREY GRIS VIN  3J9117514PL059002SHIPPERS LOAD WEIGHT & COUNT PARTICULARS FURNISHED BY SHIPPER AND CONTENTS OF CONTAINER NOT HAVING BEEN SEEN INSPECTED NOR VERIFIED BY CARRIER. X20230615277991,,
471,2023-06-12,,Charter Container Line,842 Clifton Avenue,Clifton,New Jersey,07013,United States,"842 Clifton Ave STE 1, Clifton, NJ 07013, USA",,,,,,,,,,https://panjiva.com/Charter-Container-Line/133003740,,,,,,,,,Wholesale,,,Charter Container Line,,,,,,,,,,,,,,,,"Wilmington, Wilmington, North Carolina",Southeast Region,United States,,,,WILMINGTON NC,TB KAIYUAN,Liberia,,04,,,21,54040.0,54.04,54.04,453000.0,,,25203030,Textiles,,5407.73,PROCESSED SLAG,,
87817,2023-06-12,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,878,,,60,82270.0,82.27,82.27,11500.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
87842,2023-06-12,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,878,,,11,20260.0,20.26,20.26,2800.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
87465,2023-06-12,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,874,,,11,20260.0,20.26,20.26,3400.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
87450,2023-06-12,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,874,,,30,41130.0,41.13,41.13,7000.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
87405,2023-06-12,,West Orange Nurseries,4001 Avalon Road,Winter Garden,Florida,34787,United States,"4001 Avalon Rd, Winter Garden, FL 34787, USA",,,,,,,,,,https://panjiva.com/West-Orange-Nurseries/133155934,,,,,,,,,,,,West Orange Nurseries,,,,,,,,,,,,,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,874,,,11,10900.0,10.9,10.9,8400.0,,,15102010,Construction Materials,,2517.49,GRAVEL,,
PEVFPT025832,2023-06-09,,Carnival Grand Bahama Investment,3655 Northwest 87th Avenue,Miami,Florida,33178,United States,"3655 NW 87th Ave, Miami, FL 33178, USA",,,,,,,,,,https://panjiva.com/Carnival-Grand-Bahama-Investment/154119968,,,,,,,,,,,,Carnival Grand Bahama Investment,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Freeport, Grand Bahama I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,VI-NAIS,Vanuatu,SILJ - Seacor Island Lines,447S,,,1,18140.0,18.14,18.14,3300.0,,,15102010,Construction Materials,,2523,1 X 48FB 48127 SEALNA STWC. 1 PC 48FB S.L.A.C BARGE CARNIVAL GRAND BAHAMAS IN SHORTSHIPPED FROM INV PEVFPT025830 BEX1508S AES ITN X20230601597264 SHIPPED AT CONSIGNEE RISK,,
421,2023-06-05,,Dsv Air And Sea,100 Walnut Avenue Suite 405,Clark,New Jersey,07066,,"100 Walnut Avenue, Suite 405, Clark New Jersey 07066, United States",,,,,,,,,,https://panjiva.com/Dsv-Air-And-Sea/161879771,4247343.0,4068100.0,,Air Freight and Logistics,,60000.0,,1980.0,Logistics,,,Dsv Air And Sea,,,,,,,Dsv A/S,www.dsv.com,"Hovedgaden 630, Hedehusene Capital Region of Denmark 2640, Denmark",https://panjiva.com/DSV-A-S/55474685,878704.0,4163305.0,"OTCPK:DSDV.Y, CPSE:DSV",,,"Wilmington, Wilmington, North Carolina",Southeast Region,United States,,,,WILMINGTON NC,MONALISA,INDONES,,11,,,40,40760.0,40.76,40.76,95800.0,,,15101010,Commodity Chemicals,,2530.90,PYRAX RG 140,,
424,2023-06-05,,Charter Container Line,842 Clifton Avenue,Clifton,New Jersey,07013,United States,"842 Clifton Ave STE 1, Clifton, NJ 07013, USA",,,,,,,,,,https://panjiva.com/Charter-Container-Line/133003740,,,,,,,,,Wholesale,,,Charter Container Line,,,,,,,,,,,,,,,,"Wilmington, Wilmington, North Carolina",Southeast Region,United States,,,,WILMINGTON NC,MONALISA,INDONES,,11,,,21,57780.0,57.78,57.78,484000.0,,,25203030,Textiles,,5407.73,PROCESSED SLAG,,
23LEHIGH15B,2023-06-02,,Heidelberg Materials,300 East John Carpenter Freeway,Irving,Texas,75062,,"300 East John Carpenter Freeway, Irving Texas 75062, United States",,,,,,,,,,https://panjiva.com/Heidelberg-Materials/168037596,137353716.0,6509276.0,,Construction Materials,,10700.0,,1897.0,,,,Heidelberg Materials,,,,,,,Heidelberg Materials Ag,www.heidelbergmaterials.de,"Berliner Strasse 6, Heidelberg Baden-Württemberg 69120, Germany",https://panjiva.com/Heidelberg-Materials-AG/54596419,4108892.0,6338236.0,"OTCPK:HDLM.Y, XTRA:HEI",,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,United States,"Windsor, Ont, Canada",North America,Canada,CLEVELAND,MCKEIL SPIRIT,Canada,,,,,1,3400000.0,3400.0,3400.0,1020000.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
OOLU2723359050,2023-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOLU - Orient Overseas Container Line Ltd,,"The Port of Charleston, Charleston, South Carolina",Southeast Region,United States,"Kajang, Malaysia",South-Eastern Asia,Malaysia,,Cma Cgm Chennai,,OOLU - Orient Overseas Container Line Ltd,445N-E,,,20 PL,15306.0,15.306,15306 KG,2800.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Classified: 2523.90,"SLAG CEMENT, SUPERSULFATE CEMENT AN",,
88445,2023-08-21,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,884,,,11,20260.0,20.26,20.26,3600.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
88548,2023-08-21,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,885,,,10,18420.0,18.42,18.42,2900.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
88548,2023-08-21,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,885,,,1,1300.0,1.3,1.3,340.0,,,15102010,Construction Materials,,2523.21,MASONRY CEMENT,,
88544,2023-08-21,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,885,,,11,20260.0,20.26,20.26,3200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
1,2023-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order,,,,,,,,,,,,,,,Germany,"Sault Ste. Marie, Sault Ste Marie, Michigan",North Central Region,United States,"All Other Germany Baltic Region Ports, Germany",Western Europe,Germany,SAULT ST MARI,ST. MARYS CHALLEN,USA,,V0,,,1,10000000.0,10000.0,10000.0,3000000.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
2,2023-08-18,,Martin Products Sales,Three Riverway Suite 1250,Houston,Texas,77056,,"Three Riverway, Suite 1250, Houston Texas 77056, United States",,,,,,,,,,https://panjiva.com/Martin-Products-Sales/132929016,4222707.0,4114803.0,,"Oil, Gas and Consumable Fuels",,206.0,,2002.0,,,,Martin Product Sales,,,,,,,Martin Resource Management Corporation,www.themartincompanies.com,"4200 B Stone Road, Kilgore Texas 75662, United States",https://panjiva.com/Martin-Resource-Management-Corporation/55184355,31154.0,4173287.0,,,Honduras,"Port of New Orleans, New Orleans, Louisiana",South Central Region,United States,"Puerto Cortes, Honduras",Central America,Honduras,NEW ORLEANS,JIN ZHOU WAN,PEOPLES,,20230,,,27891,4557000.0,4557.0,4557.0,729000.0,,,15102010,Construction Materials,,2523,ASPHALT CEMENT AC 30,,
1,2023-08-18,,Martin Products Sales,Three Riverway Suite 1250,Houston,Texas,77056,,"Three Riverway, Suite 1250, Houston Texas 77056, United States",,,,,,,,,,https://panjiva.com/Martin-Products-Sales/132929016,4222707.0,4114803.0,,"Oil, Gas and Consumable Fuels",,206.0,,2002.0,,,,Martin Product Sales,,,,,,,Martin Resource Management Corporation,www.themartincompanies.com,"4200 B Stone Road, Kilgore Texas 75662, United States",https://panjiva.com/Martin-Resource-Management-Corporation/55184355,31154.0,4173287.0,,,Honduras,"Port of New Orleans, New Orleans, Louisiana",South Central Region,United States,"Puerto Cortes, Honduras",Central America,Honduras,NEW ORLEANS,JIN ZHOU WAN,PEOPLES,,20230,,,11000,1797000.0,1797.0,1797.0,288000.0,,,15102010,Construction Materials,,2523,ASPHALT CEMENT AC 30,,
88342,2023-08-14,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,883,,,32,96790.0,96.79,96.79,15500.0,,,15102010,Construction Materials,,2523.90,HARDIE HARDWARE PORTLAND CEMENT,,
88337,2023-08-14,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,883,,,11,44680.0,44.68,44.68,7100.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
88323,2023-08-14,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,883,,,61,183680.0,183.68,183.68,29400.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
OOLU2722437420,2023-08-12,,Viva Shipping Inc.,175-01 Rockaway Boulevard Suite 208,Jamaica,New York,11434,,"175-01 Rockaway Boulevard, Suite 208, Jamaica New York 11434, United States",,,,,,,,,,https://panjiva.com/Viva-Shipping-Inc/89518667,416378014.0,12889177.0,,Air Freight and Logistics,,,,1989.0,Logistics,,,Viva Shipping Inc.,,,,,,,"Viva Shipping, Inc.",www.vivashipping.com,"175-01 Rockaway Boulevard, Suite 208, Jamaica New York 11434, United States",https://panjiva.com/Viva-Shipping-Inc/64158699,416378014.0,12889177.0,,OOLU - Orient Overseas Container Line Ltd,,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,United States,"Piraeus, Greece",Southern Europe,Greece,,One Atlas,,OOLU - Orient Overseas Container Line Ltd,002E-E,,,13 PL,22289.0,22.289,22289 KG,40800.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Classified: 6810.99,CEMENT,,
88241,2023-08-07,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,882,,,11,33250.0,33.25,33.25,5000.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
PEVABH017151,2023-08-02,,Arthur Services Gse,1251 Northeast 108th Street,Miami,Florida,33161,United States,"1251 NE 108th St APT 219, Miami, FL 33161, USA",,,,,,,,,,https://panjiva.com/Arthur-Services-Gse/159461026,,,,,,,,,,,,Arthur Services Gse,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1712S,,,1,90.0,0.09,0.09,13.0,,,15102010,Construction Materials,,2523,1 UN WASP STAIRWAY 2004 SN 166053 ARTHUR SERVICES GSE AES ITN X20230727691882 SHIPPED AT CONSIGNEE RISK,,
HI10202,2023-10-24,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,102,,,153,206340.0,206.34,206.34,6665000.0,,,20104020,Heavy Electrical Equipment,,8407.21,PLT CEMENT OUTBOARD ENGINES BOAT S,,
HI10204,2023-10-24,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,102,,,13,18490.0,18.49,18.49,3000.0,,,15102010,Construction Materials,,2523,BLDG MATERIAL LUMBER CEMENT,,
HI10201,2023-10-24,,Various Shippers,601 Mulberry Street,North Judson,Indiana,46366,United States,"601 Mulberry St, North Judson, IN 46366, USA",,,,,,,,,,https://panjiva.com/Various-Shippers/38699253,,,,,,,,,Logistics,,,Various Shippers,,,,,,,,,,,,,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,102,,,187,243480.0,243.48,243.48,43800.0,,,15102010,Construction Materials,,2523.90,FINISH LIME CEMENT LUMBER,,
HI10203,2023-10-24,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,W PALM BCH,CARIB WARRIOR,Panama,,102,,,80,109690.0,109.69,109.69,19700.0,,,15102010,Construction Materials,,2523.90,PLT CEMENT,,
89323,2023-10-23,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,V893,,,30,41130.0,41.13,41.13,7400.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
PEVFPT027393,2023-10-10,,Five Star Equipment And Supply,403 Wyandotte Avenue,Ramona,Oklahoma,74061,,"403 Wyandotte Avenue, Ramona Oklahoma 74061, United States",,,,,,,,,,https://panjiva.com/Five-Star-Equipment-And-Supply/167471703,4365144.0,7393489.0,,Energy Equipment and Services,,,,2004.0,Wholesale,,,Five Star Equipment And Supply,,,,,,,Slb N.V.,www.slb.com,"5599 San Felipe, 17th Floor, Houston Texas 77056, United States",https://panjiva.com/SLB-N-V/58831768,301966.0,4011047.0,"NYSE:SLB, BOVESPA:SLBG34, BASE:SLB",SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Freeport, Grand Bahama I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1736S,,,1,15870.0,15.87,15.87,2500.0,,,15102010,Construction Materials,,2523,1 VH GALION T600 B GRADER ORANGE S N GC02240 BILL OF SALE ATTACHED AES ITN X20231011826428 SHIPPED AT CONSIGNEE RISK,,
PEVNBI007973,2023-10-10,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Bimini Island, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1736S,,,1,5890.0,5.89,5.89,1100.0,,,15102010,Construction Materials,,2523.90,15 BR PORTLAND CEMENT SUPERBAGS 15 BR PORTLAND CEMENT SUPERBAGS 15 BR PORTLAND CEMENT SUPERBAGS 15 BR PORTLAND CEMENT SUPERBAGS TRICO INTL INV 17519 AES ITN X20231012924505 SHIPPED PER CNEE S RISK,,
PEVFPT027391,2023-10-10,,Alex Lyon And Son Sales Managers,,Bridgeport,New York,,United States,"Bridgeport, NY, USA",,,,,,,,,,https://panjiva.com/Alex-Lyon-And-Son-Sales-Managers/132974660,,,,,,,,,Manufacturer,,,Alex Lyon And Son Sales Managers,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Freeport, Grand Bahama I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1736S,,,1,900.0,0.9,0.9,150.0,,,15102010,Construction Materials,,2523,1 UN 2018 MILLER BIG BLUE 500 PRO WELDER SERIAL MJ270649R ALEX LYON & SON AES ITN X20231013994998 SHIPPED AT CONSIGNEE RISK,,
