bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
ADLP5BAB60525001,Simple,6/1/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
301 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO, LIMA
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,VASSOS,165,9933183,1 BLK, CM,60050.46,60050460 K,104368000,15101010,Classified: 2842.90,"60, 050. 460 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
GEAGGCON0525001,Simple,5/28/2025,"MOSAIC FERTILIZER LLC
13820 CIRCA CROSSING DRIVE
LITHIA, FL 33547
TEN/A","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO184
INT301 URB SANTA ANALIMA SAN
ISIDR",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,GEAG - Genco Ship Management Llc,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PERU,GENCO CONSTELLATION,2501,9714678,1 DBK, ,50893.56,50893560 KG,6972000,10102050,Classified: 2701.19,"32, 571. 878 CUBIC METERS PHOSPHATE ROCK IN BUL",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4094MORPBA01,Simple,5/20/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA , PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,PERU,SUNNY BAY,22,,1 BLK, ,52000,52000 ET,291252000,20102010,Classified: 8302.41,"52, 000. 610 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
GEAGGEAR0425001,Simple,5/10/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DR
LITHIA, FL 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DION DERTEANO NRO184
INT301 URB SANTA ANALIMA SAN
ISIDRO PE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,GEAG - Genco Ship Management Llc,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PERU,GENCO ARDENNES,02504,9490636,1 DBK, ,47568.32,47568320 KG,266430000,20102010,Classified: 8302.41,PHOSPHATE ROCK IN BULK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLPV7A237404251,Simple,5/7/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
801 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,ND ARISTEIA,01,9788681,1 BLK, CM,51810,51810000 K,66731000,15101010,Classified: 2842.90,"51, 810. 000 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4081MORPBA01,Simple,5/2/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA , PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,PERU,AS ONE,14,,1 BLK, ,49730,49730 ET,289329000,20102010,Classified: 8302.41,"49, 730. 200 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BFT50425001,Simple,4/26/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
801 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,VASSOS 2,01,9852810,1 BLK, CM,59901.49,59901490 K,97639000,15101010,Classified: 2811.22,"59, 901. 490 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
SWMN090425BAYX01,Simple,4/22/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIA, FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL.DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE IC
SAN ISIDRO - LIMA -PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,SWMN - Swissmarine Services S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PERU,AMIS ACE,16,,1 BLK, ,49132,49132 ET,285850000,20102010,Classified: 8302.41,"PHOSPHATE ROCK IN BULK 49, 132. 460 MT",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
SWMN270325BVAX01,Simple,4/14/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIA, FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL.DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE IC
SAN ISIDRO - LIMA -PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,SWMN - Swissmarine Services S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PORT PERU,NAVIOS LA PAIX,56,9678329,1 BLK, ,49850,49850 ET,290027000,20102010,Classified: 8302.41,"PHOSPHATE ROCK IN BULK 49, 850. 600MT",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5LPA50325001,Simple,4/12/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
801 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,FIESTA,130,9607813,1 BLK, CM,60110.86,60110860 K,97981000,15101010,Classified: 2811.22,"60, 110. 860 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4078MORPBA01,Simple,4/6/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
INT 301 URB SANTA ANA
LIMA PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,PERU,DSI POLLUX,13,,1 BLK, ,51454,51454 ET,299359000,20102010,Classified: 8302.41,"51, 454. 050 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BKM6032501,Simple,4/2/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
301 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,PEDHOULAS FIGHTER,121,9983530,1 BLK, CM,60600.25,60600250 K,98778000,15101010,Classified: 2811.22,"60, 600. 25 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
WBCP00088225,Simple,3/22/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA DROSSING DR
LITHIA. FL 33547
813 500 6300","COMPANIA MINERA MISKI MAYO S.R.L.
CAL. DIONISIO DERTEANO NOR. 184
INT. 301 URB. SANTA ANA (EDIFICIO
TORRE ICHMA) LIMA, SAN ISIDRO
TERUC: 20506285314",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,WBCP - Western Bulk Carriers As,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PORT,CL TOMO,2,9908279,1 BLK, ,51260.29,51260290 ET,297361000,20102010,Classified: 8302.41,PHOSPHATE ROCK IN BULK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BAU6022501,Simple,3/22/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
301 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,PANAMA - PACIFIC,LITO,921,9337092,1 BLK, CM,59098.2,59098200 K,95857000,15101010,Classified: 2811.22,PHOSPHATE ROCK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
SWMN040325BAYX01,Simple,3/15/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIA, FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL.DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE IC
SAN ISIDRO - LIMA -PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,SWMN - Swissmarine Services S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PERU,GENIUS SW,64,,1 BLK, ,48643,48643 ET,282178000,20102010,Classified: 8302.41,PHOSPHATE ROCK IN BULK 48643. 640MT,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BJF60210001,Simple,3/13/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA, SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,KERYNIA,921,9961439,1 BLK, CM,60700,60700000 K,352121000,20102010,Classified: 8302.41,"60, 700. 000 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP9HA319101251,Simple,3/2/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
301 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,KESARIA,921,9418444,1 BLK, CM,60799.61,60799610 K,98617000,15101010,Classified: 2811.22,PHOSPHATE ROCK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4044MORPBA01,Simple,2/28/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
INT 301 URB SANTA ANA
LIMA PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,PERU,ROYAL QUEST,7,,1 BLK, ,50921,50921 ET,82594000,15101010,Classified: 2811.22,"50, 921. 190 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLPC6HW90125001,Simple,2/20/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL. DIONISIO DERTEANO NRO. 184
INT 301 URB SANTA ANA
LIMA
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,BTG ELBERT,921,9952440,1 BLK, CM,60800.5,60800500 K,99834000,15101010,Classified: 2811.22,"60, 800. 500 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4038MORPBA01,Simple,2/14/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA , PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,PERU,AMIS WISDOM III,25,,1 BLK, ,51006,51006 ET,301700000,20102010,Classified: 8302.41,"51,. 006. 250 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4029MORBAY01,Simple,2/7/2025,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA , PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,PERU,NEWPORT,3,,1 BLK, ,50860,50860 ET,84733000,15101010,Classified: 2811.22,"50, 859. 510 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLPC4JL20105001,Simple,2/2/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL. DIONISIO DERTEANO NRO. 184
INT 301 URB SANTA ANA
LIMA
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,PEDHDOULAS MERCHANTS,01,9279800,1 BLK, CM,61125.53,61125530 K,101835000,15101010,Classified: 2811.22,PHOSPHATE ROCK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
WBCP00088213,Simple,1/24/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DRIVE
LITHIA, FLORIDA 33547","COMPANIA MINERA MISKI MAYO S.R.L.
CAL. DIONISIO DERTEANO NOR. 184
INT. 301 URB. SANTA ANA (EDIFICIO
TORRE ICHMA) LIMA, SAN ISIDRO
TERUC: 20506285314",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,WBCP - Western Bulk Carriers As,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR,WESTERN TOKYO,45,9838498,1 BLK, ,51360.95,51360950 ET,303800000,20102010,Classified: 8302.41,PHOSPHATE ROCK IN BULK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP9V5926122401,Simple,1/17/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL. DIONISIO DERTEANO NRO. 184
INT 301 URB SANTA ANA
LIMA
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,AOM SVEVA,070,9852793,1 BLK, CM,60713.42,60713420 K,150812000,15101010,Classified: 2836.50,PHOSPHATE ROCK,Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLPCSOL12202401,Simple,1/6/2025,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
801 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,C. S. OLIVE,4,9461075,1 BLK, CM,61610.84,61610840 K,137515000,15101010,Classified: 2836.50,"61, 610. 840 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BZV41130001,Simple,12/27/2024,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
301 URB SANTA ANA EDIFICIO TORRE
SAN ISIDRO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,PEHOULAS CEDRUS,0921,9758416,1 BLK, CM,60650.66,60650660 K,135372000,15101010,Classified: 2836.50,"60, 650. 660 M/TS PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
CINT4005MORPBA01,Simple,12/18/2024,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DRIVE
LITHIA
FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE
LIMA , PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,CINT - Cargill International S A,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,PERU,CL SHAOYANG,8,,1 BLK, ,50898,50898 ET,368400000,25202010,Classified: 9503.00,"50, 898. 220 MT PHOSPHATE ROCK IN BULK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
DMNAAGIACHAR0201,Simple,12/15/2024,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DRIVE
LITHIA FL33547 US","COMPANIA MINERA MISKI MAYO S.R.L.
CAL. DIONISIO DERTEANO NRO. 184
INT. 301 URB. SANTA ANA, SAN ISIDRO
LIMA PE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,DMNA - Dampskibsselskabet Norden Aktieselskab,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,"BAYOVAR PORT,PERU",AGIA CHARIS,02,,1 BLK, ,36450,36450 ET,57482000,30202030,Classified: 2309.90,"PHOSPHATE ROCK IN BULK (36, 450. 000 METRIC TONS)",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
ADLP5BLN41106001,Simple,12/5/2024,"MOSAIC FERTILIZER LLC
13830 CIRCA CROSSING DR
LITHIAFL 33547
US","COMPANIA MINERA MISKI MAYO SRL
CAL DIONISIO DERTEANO NRO 184
801 URB SANTA ANA EDIFICIO TORRE
SAN ISADORO
TEPE",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,ADLP - Adm International Sarl,MOSAIC FERTILIZER LLC,Peru,"Port of Gramercy, Gramercy, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Peru Ports, Peru",Peru,ALL OTHER PERU PO,GRAECIA AETERNA,01,9689835,1 BLK, CM,60000.61,60000610 K,133921000,15101010,Classified: 2836.50,"60, 000. 610 MT PHOSPHATE ROCK",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
SWMN131124MOSAIC,Simple,11/25/2024,"MOSAIC FERTILIZER, LLC
13830 CIRCA CROSSING DR
LITHIA, FLORIDA 33547","COMPANIA MINERA MISKI MAYO SRL
CAL.DIONISIO DERTEANO NRO 184 INT
301 URB SANTA ANA EDIFICIO TORRE IC
SAN ISIDRO - LIMA -PERU",COMPANIA MINERA MISKI MAYO S.R.L.,MOSAIC,SWMN - Swissmarine Services S A,MOSAIC FERTILIZER LLC,Peru,"Port Manatee, Florida",Southeast Region,Southeast Region,Tampa Bay,Southeast Region,"All Other Peru Ports, Peru",Peru,BAYOVAR PORT PERU,SORAL,02,,1 BLK, ,50185,50185 ET,119290000,15101010,Classified: 2836.50,"PHOSPHATE ROCK {50, 185. 400MT}",Bulk,Fertilizer,Phosphourus Fertilizers,Phosrock,COMPANIA MINERA MISKI MAYO S.R.L.,Mosaic,",",,,,,,,,1
